Manufacturer,Model.Name,Category,Screen,CPU,Storage,GPU,Operating.System,Weight,Price,CPU.Speed,Storage.Type,GPU.Rank,Storage.Size,RAM.Size,Screen.Size,Category.Type,GPU.Speed
Acer,Aspire A715-71G,Notebook,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5,979,2.8,1,216,256,8,39.624,1,2421
Dell,Precision 7720,Workstation,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,256GB SSD,Nvidia Quadro M1200,Windows,3.42,2884.86,2.9,1,343,256,16,43.942,5,2294
Lenovo,IdeaPad 310-15ABR,Notebook,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,1TB HDD,AMD Radeon R5 430,Windows,2.4,499,2.4,0,821,1024,6,39.624,1,1816
Asus,ZenBook UX530UQ-PRO,Ultrabook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,512GB SSD,Nvidia GeForce 940MX,Windows,1.63,1468,2.7,1,659,512,16,39.624,2,1978
Asus,VivoBook S14,Notebook,1366x768,Intel Core i3 7100U 2.4GHz,128GB SSD,Intel HD Graphics 620,Windows,1.3,509,2.4,1,885,128,4,35.56,1,1752
Asus,Rog GL702VS-GC095T,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,2.9,2122,2.8,1,111,1024,16,43.942,6,2526
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel Core i5 7200U 2.5GHz,1TB HDD,Nvidia GeForce GTX 940M,Windows,2.8,649,2.5,0,778,1024,6,43.942,1,1859
Lenovo,IdeaPad 320-15IKBN,Notebook,1366x768,Intel Core i5 7200U 2.5GHz,2TB HDD,Nvidia GeForce 940MX,No OS,2.2,549,2.5,0,659,2048,8,39.624,1,1978
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,2.5,1265,2.8,1,216,1024,8,39.624,6,2421
Lenovo,IdeaPad 320-15IAP,Notebook,1366x768,Intel Pentium Quad Core N4200 1.1GHz,1TB HDD,Intel HD Graphics 505,No OS,2.2,359.99,1.1,0,1447,1024,4,39.624,1,1190
HP,EliteBook x360,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,256GB SSD,Intel HD Graphics 620,Windows,1.28,1975,2.8,1,885,256,16,33.782,3,1752
Toshiba,Satellite Pro,Notebook,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,256GB SSD,Nvidia GeForce 930M,Windows,2.2,1043,2.5,1,822,256,8,39.624,1,1815
Lenovo,IdeaPad 320-15IKB,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,2.3,819,2.5,1,659,1024,8,39.624,1,1978
HP,250 G6,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,1TB HDD,Intel HD Graphics 520,Windows,1.86,469,2,0,921,1024,4,39.624,1,1716
Lenovo,IdeaPad 720S-13IKB,Notebook,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.1,999,2.5,1,885,256,8,33.782,1,1752
Dell,XPS 13,Ultrabook,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,1TB SSD,Intel UHD Graphics 620,Windows,1.21,2499,1.8,1,809,1024,16,33.782,2,1828
MSI,GE63VR 7RF,Gaming,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,2.8,2099,2.8,1,111,1024,16,39.624,6,2526
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,256GB SSD,AMD Radeon R5,Windows,2.23,469,2.2,1,832,256,8,39.624,1,1805
Asus,VivoBook Flip,2 in 1 Convertible,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows,1.1,275,1.1,1,1487,32,2,29.464,3,1150
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,2.33,844,1.6,1,870,1024,8,39.624,1,1767
HP,Spectre x360,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,1TB SSD,Intel UHD Graphics 620,Windows,1.29,2449,1.8,1,809,1024,16,33.782,3,1828
Lenovo,ThinkPad 13,Notebook,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,16GB Flash Storage,Intel HD Graphics 510,Chrome OS,1.45,459.9,1.6,1,1164,16,4,33.782,1,1473
HP,ProBook 640,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.95,980,2.5,1,885,256,8,35.56,1,1752
Acer,TravelMate B,Notebook,1366x768,Intel Pentium Quad Core N3710 1.6GHz,128GB Flash Storage,Intel HD Graphics 405,Windows,1.4,485,1.6,1,1164,128,4,29.464,1,1473
HP,Elitebook 840,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620,Windows,1.48,1292,2.7,1,885,256,8,35.56,1,1752
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel Core i5 7200U 2.5GHz,1TB HDD,Nvidia GeForce 920MX,Windows,2.79,589,2.5,0,784,1024,4,43.942,1,1853
Asus,ZenBook UX410UA-GV183T,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620,Windows,2,1094,2.7,1,885,256,8,35.56,1,1752
HP,ProBook 450,Notebook,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,1TB HDD,Intel UHD Graphics 620,Windows,2.1,902,1.8,0,809,1024,8,39.624,1,1828
Acer,Aspire 5,Notebook,1366x768,AMD A12-Series 9720P 2.7GHz,256GB SSD,AMD Radeon RX 540,Windows,2.2,659,2.7,1,540,256,8,39.624,1,2097
Lenovo,IdeaPad 120S-14IAP,Notebook,1366x768,Intel Celeron Dual Core N3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows,1.44,292,1.1,1,1487,32,4,35.56,1,1150
Acer,Aspire E5-575,Notebook,1366x768,Intel Core i5 7200U 2.5GHz,1TB HDD,Intel HD Graphics 620,Windows,2.23,549,2.5,0,885,1024,6,39.624,1,1752
Asus,VivoBook S15,Ultrabook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 940MX,Windows,1.7,1049.9,2.7,1,659,256,8,39.624,2,1978
HP,Elitebook 820,Ultrabook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620,Windows,1.26,1335,2.7,1,885,256,8,31.75,2,1752
Dell,XPS 15,Notebook,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,1TB SSD,Nvidia GeForce GTX 1050,Windows,2.06,2639,2.8,1,270,1024,32,39.624,1,2367
MSI,GL72M 7REX,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,2.7,1199,2.8,1,216,1024,8,43.942,6,2421
Toshiba,Satellite Pro,Notebook,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,2,943,2.5,1,885,256,8,39.624,1,1752
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows,2,1334,2.7,1,885,1024,8,35.56,1,1752
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,1TB HDD,Intel HD Graphics 520,Windows,1.85,449,2,0,921,1024,4,39.624,1,1716
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050,Windows,2.5,999,2.8,1,270,256,8,39.624,6,2367
HP,EliteBook 840,Notebook,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620,Windows,1.48,1268,2.6,1,885,256,8,35.56,1,1752
Dell,Inspiron 7570,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,1.9,1049,1.6,1,659,1024,8,39.624,2,1978
HP,Elitebook 850,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.84,1144,2.5,1,885,256,8,39.624,1,1752
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,1366x768,Intel Celeron Dual Core N3350 1.1GHz,1TB HDD,Intel HD Graphics 500,Linux,2,274.99,1.1,0,1487,1024,4,39.624,1,1150
Dell,Inspiron 7570,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Nvidia GeForce 940MX,Windows,2,1142.75,1.6,1,659,256,8,39.624,1,1978
Dell,Inspiron 3552,Notebook,1366x768,Intel Celeron Dual Core N3060 1.6GHz,500GB HDD,Intel HD Graphics,Linux,2.2,274.9,1.6,0,1487,500,4,39.624,1,1150
Lenovo,IdeaPad 320-15ABR,Notebook,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,2TB HDD,AMD Radeon 530,Windows,2.2,899,3.6,0,870,2048,12,39.624,1,1767
HP,ProBook 450,Notebook,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,1TB HDD,Nvidia GeForce 930MX,Windows,2.1,716,2.4,0,707,1024,8,39.624,1,1930
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620,Windows,1.4,2099,1.8,1,809,512,16,35.306,3,1828
Dell,XPS 13,Ultrabook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.2,1579,1.8,1,809,256,8,33.782,2,1828
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,2.4,1129,2.8,1,216,2048,16,39.624,6,2421
HP,Stream 14-AX001nv,Notebook,1366x768,Intel Celeron Dual Core N3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows,1.44,279,1.6,1,1487,32,2,35.56,1,1150
Dell,Latitude 5590,Ultrabook,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,1.88,1607.96,1.9,1,809,512,16,39.624,2,1828
Asus,VivoBook Flip,2 in 1 Convertible,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows,1.5,375,1.1,1,1487,32,4,29.464,3,1150
Dell,Inspiron 5570,Ultrabook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,1TB HDD,AMD Radeon 530,Windows,1.9,663,1.6,0,870,1024,8,39.624,2,1767
Dell,XPS 15,Notebook,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050,Windows,2.06,2027.42,2.8,1,270,512,16,39.624,1,2367
HP,Elitebook 850,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620,Windows,1.84,1304,2.7,1,885,256,8,39.624,1,1752
MSI,GP72MVR 7RFX,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,2.7,1409,2.8,1,163,1024,8,43.942,6,2474
HP,Zbook 15,Workstation,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M1200,Windows,2.6,1738.27,2.8,1,343,256,8,39.624,5,2294
Toshiba,Tecra A50-C-21G,Notebook,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,512GB SSD,Nvidia GeForce 930M,Windows,2.4,1403,2.5,1,822,512,16,39.624,1,1815
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,128GB SSD +  2TB HDD,AMD Radeon 530,Windows,2.02,970.9,1.8,1,870,2048,8,39.624,1,1767
Lenovo,IdeaPad 320-15IAP,Notebook,1366x768,Intel Celeron Dual Core N3350 1.1GHz,1TB HDD,Intel HD Graphics 500,No OS,2.2,321.99,1.1,0,1487,1024,4,39.624,1,1150
Dell,Inspiron 7577,Gaming,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,1TB HDD,Nvidia GeForce GTX 1050,Windows,2.65,999,2.5,0,270,1024,8,39.624,6,2367
Dell,Inspiron 3567,Notebook,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,2TB HDD,Intel HD Graphics 620,Windows,2.36,557.37,2.5,0,885,2048,8,39.624,1,1752
Dell,Latitude 7480,Notebook,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620,Windows,1.36,1427,2.6,1,885,256,8,35.56,1,1752
HP,250 G6,Notebook,1366x768,Intel Core i3 6006U 2GHz,500GB HDD,Intel HD Graphics 520,Windows,1.86,439,2,0,921,500,4,39.624,1,1716
Asus,Zenbook UX410UA-GV027T,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,2,945,2.5,1,885,256,8,35.56,1,1752
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel Core i5 7200U 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,Windows,2.8,719,2.5,1,659,1024,6,43.942,1,1978
HP,250 G6,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,1TB HDD,Intel HD Graphics 620,Windows,1.86,639,2.5,0,885,1024,8,39.624,1,1752
Lenovo,IdeaPad 320-15ISK,Notebook,1366x768,Intel Core i3 6006U 2GHz,256GB SSD,Nvidia GeForce 920MX,No OS,2.2,499,2,1,784,256,8,39.624,1,1853
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,1366x768,Intel Pentium Quad Core N3710 1.6GHz,2TB HDD,Intel HD Graphics 405,Windows,2.04,389,1.6,0,1164,2048,8,39.624,1,1473
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,2.8,1085,1.6,1,870,1024,8,43.942,1,1767
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS,2.4,809,2.5,1,270,1024,8,39.624,6,2367
Dell,Inspiron 5567,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,AMD Radeon R7 M445,Windows,2.33,899,2.7,1,888,256,8,39.624,1,1749
HP,Elitebook 1040,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620,Windows,1.36,1750,2.7,1,885,256,8,35.56,2,1752
Asus,ZenBook Flip,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,Windows,2.26,1099,2.7,1,659,2048,12,39.624,3,1978
Acer,Aspire 3,Notebook,1366x768,AMD A9-Series 9420 3GHz,128GB SSD,AMD Radeon R5,Windows,2.1,426,3,1,832,128,4,39.624,1,1805
Asus,Rog Strix,Gaming,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,3.25,2199,3,1,143,1024,16,43.942,6,2494
Lenovo,IdeaPad 110-17ACL,Notebook,1600x900,AMD A8-Series 7410 2.2GHz,128GB SSD,AMD Radeon R5,Windows,2.6,489,2.2,1,832,128,4,43.942,1,1805
Dell,Inspiron 5379,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.62,869.01,1.8,1,809,256,8,33.782,3,1828
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,Full HD 1920x1080,AMD A9-Series 9420 3GHz,256GB SSD,AMD Radeon R5,Windows,1.91,488.99,3,1,832,256,4,39.624,1,1805
Lenovo,Yoga 11e,Netbook,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,128GB SSD,Intel HD Graphics 500,Windows,1.59,553,1.1,1,1487,128,4,29.464,4,1150
Dell,Inspiron 3552,Notebook,1366x768,Intel Celeron Dual Core N3060 1.60GHz,500GB HDD,Intel HD Graphics 400,Windows,1.8,309,1.6,0,1487,500,4,39.624,1,1150
Asus,VivoBook E403NA,Notebook,1366x768,Intel Celeron Dual Core N3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows,1.5,286,1.1,1,1487,32,4,35.56,1,1150
Acer,Aspire 7,Notebook,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4,846,2.8,0,270,1024,8,39.624,1,2367
HP,Omen 17-w212nv,Gaming,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,3.35,1191,2.8,1,270,1024,8,43.942,6,2367
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,128GB SSD,Intel HD Graphics 520,No OS,1.85,403.5,2,1,921,128,4,39.624,1,1716
Asus,ROG Strix,Gaming,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,2.3,1655,2.8,1,163,1024,8,39.624,6,2474
Lenovo,IdeaPad 720S-14IKB,Notebook,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce 940MX,Windows,1.5,1099,2.5,1,659,256,8,35.56,1,1978
Asus,Zenbook Flip,Ultrabook,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620,Windows,1.1,1748.9,2.7,1,885,512,16,33.782,2,1752
Lenovo,Thinkpad X1,Ultrabook,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620,Windows,1.13,2282,2.7,1,885,512,8,35.56,2,1752
Lenovo,Ideapad 510S-13IKB,Notebook,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,128GB SSD,Intel HD Graphics 620,Windows,1.5,549,2.4,1,885,128,4,33.782,1,1752
Dell,Precision 3510,Workstation,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,500GB HDD,AMD FirePro W5130M,Windows,2.23,1369,2.6,0,693,500,8,39.624,5,1944
Dell,Precision 5520,Workstation,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,256GB SSD,Nvidia Quadro M1200,Windows,2,2135,2.7,1,343,256,8,39.624,5,2294
Lenovo,ThinkPad X1,2 in 1 Convertible,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620,Windows,1.42,2509,2.7,1,885,512,16,35.56,3,1752
Asus,Rog GL753VD-GC042T,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050,Windows,3,1039,2.8,0,270,1024,8,43.942,6,2367
Asus,Rog GL753VE-GC070T,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,3,1591,2.8,1,216,1024,16,43.942,6,2421
Acer,Aspire 5,Notebook,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,1TB HDD,Nvidia GeForce MX130,Windows,2.2,693.99,1.6,0,562,1024,12,39.624,1,2075
MSI,Leopard GP72M,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,2.7,1349,2.8,1,216,256,8,43.942,6,2421
Dell,Inspiron 5567,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,AMD Radeon R7 M445,Linux,2.33,778.87,2.7,1,888,256,8,39.624,1,1749
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,Full HD 1920x1080,AMD A9-Series 9420 3GHz,256GB SSD,AMD Radeon 520,Windows,1.91,499,3,1,948,256,4,39.624,2,1689
Lenovo,ThinkPad E580,Notebook,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon RX 550,Windows,2.1,1229.56,1.8,1,400,256,8,39.624,1,2237
Lenovo,ThinkPad L470,Notebook,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.9,938,2.5,1,885,256,8,35.56,1,1752
Dell,Precision M5520,Workstation,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M1200,Windows,1.78,2712,2.8,1,343,256,8,39.624,5,2294
Lenovo,Thinkpad X1,Ultrabook,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,1TB SSD,Intel HD Graphics 620,Windows,1.13,2625,2.7,1,885,1024,16,35.56,2,1752
Lenovo,IdeaPad 320-15IAP,Notebook,1366x768,Intel Celeron Dual Core N3350 1.1GHz,1TB HDD,Intel HD Graphics 500,Windows,2.2,306,1.1,0,1487,1024,4,39.624,1,1150
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,2.9,1529,2.8,1,270,1024,16,43.942,6,2367
Lenovo,ThinkPad E580,Notebook,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD +  1TB HDD,AMD Radeon RX 550,Windows,2.1,1144.5,1.6,1,400,1024,8,39.624,1,2237
Acer,Aspire 7,Notebook,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050,Linux,2.5,879,2.8,1,270,256,8,39.624,1,2367
MSI,GE73VR 7RF,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,2.8,2249,2.8,1,111,1024,16,43.942,6,2526
Asus,Zenbook 3,Ultrabook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620,Windows,1.1,1873,2.7,1,885,512,8,35.56,2,1752
Toshiba,Portege Z30-C-16P,Ultrabook,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520,Windows,1.2,1747,2.5,1,921,512,16,33.782,2,1716
Dell,Latitude 7480,Ultrabook,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,512GB SSD,Intel HD Graphics,Windows,1.36,1680,2.8,1,1487,512,8,35.56,2,1150
Lenovo,IdeaPad 320-15ISK,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,500GB HDD,Intel HD Graphics 520,Windows,2.2,409,2,0,921,500,4,39.624,1,1716
Lenovo,Lenovo IdeaPad,Notebook,1366x768,Intel Celeron Dual Core N3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows,1.15,304.45,1.1,1,1487,32,2,29.464,1,1150
Lenovo,ThinkPad P51,Workstation,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia Quadro M1200,Windows,2.67,1925,2.8,1,343,512,8,39.624,5,2294
Lenovo,Thinkpad T470p,Ultrabook,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GT 940MX,Windows,1.7,1943,2.8,1,659,512,8,35.56,2,1978
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,1TB HDD,AMD Radeon 520,Windows,2.1,469,2,0,948,1024,4,39.624,1,1689
Acer,Aspire R7,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520,Windows,1.6,789.01,2.5,1,921,256,8,33.782,3,1716
Asus,ZenBook Flip,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.27,928,2.5,1,885,256,8,33.782,3,1752
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,AMD Radeon R5 M430,Linux,2.3,598.9,2.5,1,1117,256,4,39.624,1,1520
Dell,Latitude 3380,Notebook,1366x768,Intel Core i3 6006U 2GHz,128GB SSD,Intel HD Graphics 520,Windows,1.65,689,2,1,921,128,4,33.782,1,1716
HP,EliteBook 1040,Ultrabook,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520,Windows,1.43,1500,2.5,1,921,256,8,35.56,2,1716
Dell,Inspiron 3567,Notebook,1366x768,Intel Core i5 7200U 2.5GHz,1TB HDD,Intel HD Graphics 620,Windows,2.14,539.95,2.5,0,885,1024,8,39.624,1,1752
Lenovo,ThinkPad E480,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon RX 550,Windows,1.75,1215.38,1.8,1,400,256,8,35.56,2,2237
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050,Windows,2,1899,2.8,1,270,512,16,39.624,3,2367
Chuwi,LapBook 12.3,Notebook,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,64GB Flash Storage,Intel HD Graphics 500,Windows,1.4,449,1.1,1,1487,64,6,31.242,1,1150
HP,ProBook 650,Notebook,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,256GB SSD,Intel HD Graphics 630,Windows,2.31,1427,2.9,1,710,256,8,39.624,1,1927
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,597,2.4,0,659,1024,8,39.624,1,1978
